地址,建物型態,訂約日期,樓別/樓高,家具,緯度,經度,備註,租金,總面積(坪),出租型態,房型,租賃期間,屋齡,主要用途
中壢區民族路六段１２６號五樓之２,住宅大樓(11層含以上有電梯),114/03/03,五層/十三層,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣、傢俱,24.960378366339114,121.16387641518702,未租賃車位，建物登記含有車位面積;,"20,400",52.55,整戶出租,3房2廳2衛,1140305~1150304,9,集合住宅
中壢區龍和二街３８２號三樓,住宅大樓(11層含以上有電梯),114/03/03,三層/十四層,冷氣、熱水器、瓦斯或天然氣,24.94003513399935,121.24455107282056,續租案件;,"24,971",56.37,整戶出租,4房2廳2衛,1140314~1160313,3,集合住宅
中壢區高鐵站前東路一段９１號十樓之３,住宅大樓(11層含以上有電梯),114/03/01,十層/十七層,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣、傢俱,25.012312165487376,121.2181014563183,社會住宅,"15,000",18.30,獨立套房,1房1廳1衛,1140301~1150228,3,集合住宅
中壢區仁福三街７４號１２樓,住宅大樓(11層含以上有電梯),114/03/01,十二層/十二層,冷氣、熱水器、洗衣機、冰箱、瓦斯或天然氣、傢俱,24.940314221963426,121.25578053299017,每月管理費2000由承租人負擔出租人繳納,"15,500",27.04,整戶出租,2房1廳1衛,1140301~1150228,31,住家用
中壢區龍慈路５１號８樓,住宅大樓(11層含以上有電梯),114/03/05,八層/十五層,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣、傢俱,24.943054604920786,121.24760692885687,,"17,500",28.60,整戶出租,2房1廳1衛,1140305~1150304,3,集合住宅
中壢區力行北街５３號５樓之３,華廈(10層含以下有電梯),114/03/04,五層/六層,冷氣、熱水器、電視機、冰箱、傢俱,24.954308197645037,121.23950884031468,,"4,150",5.88,獨立套房,1房1衛,1140305~1160304,35,住家用
中壢區永福路７４８巷５之２號,公寓(5樓含以下無電梯),114/03/05,二層/四層,熱水器、瓦斯或天然氣、傢俱,24.96095998753643,121.25703143165046,續租案件;,"8,000",20.51,整戶出租,3房1廳1衛,1140313~1150312,46,住家用
中壢區大智街１０號二樓之４９,公寓(5樓含以下無電梯),114/03/04,二層/五層,冷氣、熱水器、洗衣機、電視機、冰箱、傢俱,24.95333988533667,121.24091320489742,,"4,600",7.41,獨立套房,1房1衛,1140312~1150311,36,住家用
中壢區長春五路２０號十樓,住宅大樓(11層含以上有電梯),114/03/01,十層/十一層,冷氣、熱水器、洗衣機、電視機、冰箱、傢俱,24.97916693458993,121.24831311276988,管理費988元由出租人負擔。,"11,012",19.76,獨立套房,1房1廳1衛,1140301~1150228,17,住家用
中壢區中山東路三段２４９號３樓之３,華廈(10層含以下有電梯),114/03/01,三層/五層,冷氣、熱水器、冰箱、傢俱,24.942065352443993,121.25069443068948,水費、電費、瓦斯費、網路費由承租人負擔。,"6,500",6.72,獨立套房,1房1衛,1140301~1150228,18,住家用
中壢區嘉善街３５之１號三樓,華廈(10層含以下有電梯),114/03/05,三層/六層,熱水器、瓦斯或天然氣,24.9517445212725,121.23357201010045,,"12,300",23.35,整戶出租,2房2廳1衛,1140320~1150319,32,住家用
中壢區榮民南路２７９巷２３號４樓,住宅大樓(11層含以上有電梯),114/03/02,四層/十三層,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣、傢俱,24.951515445594904,121.2575267757349,管理費2442元由出租人負擔。,"19,558",25.52,整戶出租,2房1廳1衛,1140302~1150301,9,集合住宅
中壢區高鐵南路三段８３１巷５２弄２２號,透天厝,114/03/05,全/三層,冷氣、熱水器、瓦斯或天然氣、傢俱,24.984988372850406,121.18796982531718,多人共同承租2;,"22,000",64.02,整戶出租,4房3廳5衛,1140310~1150309,31,住宅、儲藏室
中壢區福州一街２３７號六樓,華廈(10層含以下有電梯),114/03/05,六層/八層,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣、傢俱,24.96687777594173,121.2325012052819,,"18,000",33.22,整戶出租,2房2廳2衛,1140305~1150304,30,住家用
中壢區春德路２８９號２樓,住宅大樓(11層含以上有電梯),114/03/05,二層/十五層,冷氣、洗衣機、電視機、冰箱、瓦斯或天然氣、傢俱,25.01395621676073,121.21123815070807,,"13,300",18.74,獨立套房,1房1廳1衛,1140308~1150307,5,集合住宅
中壢區新中北路６１號五樓,華廈(10層含以下有電梯),114/03/04,五層/五層,冷氣、熱水器、電視機、冰箱、傢俱,24.957175469545852,121.23619675164656,,"6,000",6.24,分租套房,8房8衛,1140328~1150327,24,住家用
中壢區榮和五街６巷１６號,透天厝,114/03/03,全/五層,冷氣、熱水器、瓦斯或天然氣,24.963141529256486,121.2640875083609,,"22,000",66.52,整戶出租,4房1廳2衛,1140305~1150304,30,集合住宅、停車空間
中壢區榮安五街１號六樓,華廈(10層含以下有電梯),114/03/03,六層/七層,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣、傢俱,24.961440142233148,121.25607176767623,租金總額含管理費;,"16,800",33.60,整戶出租,3房1廳2衛,1140310~1150309,31,住家用
中壢區九和一街１號十九樓之１０,住宅大樓(11層含以上有電梯),114/03/04,十九層/二十二層,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣、傢俱,24.962160901784895,121.22335114160943,租金總額含管理費;,"10,500",13.51,獨立套房,1房1衛,1140331~1150330,17,住家用
中壢區美豐街６５號一樓,店面（店舖),114/03/06,一層/四層,,24.961643465435028,121.21917082299804,,"30,000",17.06,,,1140320~1170319,44,住商用
中壢區振興街１３１之２號,透天厝,114/03/02,全/二層,有線電視、網路,24.953401707679603,121.24176499067832,續租案件;,"7,900",4.08,分租套房,7房7廳7衛,1140301~1140602,39,住商用
中壢區執信一街１７３之１７號九樓,華廈(10層含以下有電梯),114/03/05,九層/九層,冷氣、熱水器、洗衣機、電視機、冰箱、傢俱,24.944640163478592,121.22709234981414,,"8,400",10.81,獨立套房,1房1廳1衛,1140305~1150304,27,住家用
中壢區長樂二街２５號十三樓之５,住宅大樓(11層含以上有電梯),114/03/06,十三層/十五層,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣、傢俱,24.977631024619654,121.24896376045488,,"23,400",38.78,整戶出租,2房2廳1衛,1140310~1150309,10,集合住宅
中壢區興國路３７巷２９號２樓之１,公寓(5樓含以下無電梯),114/03/04,二層/四層,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣、傢俱,24.95899695385039,121.21998813100917,續租案件;,"15,000",16.48,整戶出租,2房1廳1衛,1140410~1150409,46,住商用
中壢區青峰路一段８１號十樓,住宅大樓(11層含以上有電梯),114/03/04,十層/十七層,冷氣、熱水器、洗衣機、冰箱、瓦斯或天然氣、傢俱,25.015705434734393,121.21904871875559,,"18,000",30.97,整戶出租,2房2廳1衛,1140310~1150309,2,集合住宅
中壢區民權路１２０號七樓之６,住宅大樓(11層含以上有電梯),114/03/06,七層/十五層,冷氣、熱水器、洗衣機、電視機、冰箱、傢俱,24.9579444723349,121.21737174695582,,"21,000",38.85,整戶出租,2房1廳1衛,1140306~1150305,1,集合住宅
中壢區中央西路二段１５０巷７號三樓,公寓(5樓含以下無電梯),114/03/06,三層/五層,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣、傢俱,24.958816261197153,121.21386742761734,續租案件;,"15,000",46.60,整戶出租,3房1廳2衛,1140407~1150406,32,住家用
中壢區中山東路三段１６６號十一樓,住宅大樓(11層含以上有電梯),114/03/04,十一層/十四層,冷氣、熱水器、洗衣機、電視機、冰箱、傢俱,24.94339590772272,121.2486671554466,租金總額含管理費;續租案件;,"13,000",29.20,分租套房,2房2廳2衛,1140320~1150319,2,集合住宅
中壢區龍慈路７９號２樓,住宅大樓(11層含以上有電梯),114/03/05,二層/十五層,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣、傢俱,24.943054604920786,121.24760692885687,,"17,500",26.78,整戶出租,2房1廳1衛,1140305~1150304,3,集合住宅
中壢區自立五街６２號八樓,住宅大樓(11層含以上有電梯),114/03/04,八層/十四層,冷氣、熱水器、冰箱、瓦斯或天然氣,24.966558547142743,121.2511699085109,續租案件;,"19,000",57.09,整戶出租,3房2廳2衛,1140304~1150303,22,住家用
中壢區三合一街２號二樓,華廈(10層含以下有電梯),114/03/06,二層/六層,冷氣、熱水器、瓦斯或天然氣、傢俱,24.954016893944768,121.24098384417447,,"12,000",29.51,整戶出租,3房1廳2衛,1140309~1150308,32,住家用
中壢區中華路一段６４４巷２９弄４號２樓,公寓(5樓含以下無電梯),114/03/03,二層/五層,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣、傢俱,24.970082493348613,121.24945369353584,,"16,000",26.64,整戶出租,3房1廳1衛,1140304~1150303,37,住家用
中壢區新興路８６之５號六樓,華廈(10層含以下有電梯),114/03/07,六層/七層,冷氣、熱水器、洗衣機、電視機、冰箱、傢俱,24.952110384827986,121.2246303007964,續租案件;,"10,200",15.63,獨立套房,1房1廳1衛,1140315~1150314,33,住家用
中壢區榮安一街４５１號二樓,住宅大樓(11層含以上有電梯),114/03/07,二層/十二層,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣、傢俱,24.96504606228749,121.25396967432289,,"26,500",61.86,整戶出租,4房2廳2衛,1140401~1150331,22,住家用
中壢區大智街１０號３樓之１１７,公寓(5樓含以下無電梯),114/03/05,三層/五層,冷氣、熱水器、洗衣機、電視機、冰箱、傢俱,24.95333988533667,121.24091320489742,,"7,000",9.18,獨立套房,1房1衛,1140305~1150304,36,住家用
中壢區吉林路１５６之１號三樓,華廈(10層含以下有電梯),114/03/06,三層/五層,冷氣、熱水器、瓦斯或天然氣、傢俱,24.98380338715949,121.2507690861093,,"16,500",29.01,整戶出租,3房2廳2衛,1140310~1151031,24,住家用
中壢區忠勤街８號二樓,華廈(10層含以下有電梯),114/03/07,二層/五層,冷氣、熱水器、洗衣機、瓦斯或天然氣,24.974026788055237,121.25542429606642,,"18,000",26.97,整戶出租,2房2廳1衛,1140408~1150407,2,集合住宅
中壢區力行北街５３號六樓之６,華廈(10層含以下有電梯),114/03/07,六層/六層,冷氣、熱水器、洗衣機、冰箱、傢俱,24.954308197645037,121.23950884031468,續租案件;,"5,500",9.03,獨立套房,1房1廳1衛,1140410~1150409,35,住家用
中壢區成功路９４巷３５-３號,透天厝,114/03/01,全/五層,冷氣、熱水器、洗衣機、電視機、冰箱、有線電視、網路、傢俱,24.975867493811037,121.26125216471424,租金總額含水費;網路費;含增建或未登記建物;續租案件;,"7,500",4.57,分租套房,10房10衛,1140301~1150228,34,住家用
中壢區晉元路３０１巷４４號三樓,住宅大樓(11層含以上有電梯),114/03/06,三層/十二層,熱水器,24.952523097859487,121.26468874560207,,"15,000",39.52,整戶出租,3房1廳2衛,1140310~1150309,31,住家用
中壢區大智街１０號五樓之１１２,公寓(5樓含以下無電梯),114/03/03,五層/五層,冷氣、熱水器、洗衣機、電視機、冰箱、傢俱,24.95333988533667,121.24091320489742,,"5,000",9.18,獨立套房,1房1衛,1140303~1150302,36,住家用
中壢區福州二街３４７號二樓,華廈(10層含以下有電梯),114/03/03,二層/六層,冷氣、熱水器、瓦斯或天然氣、傢俱,24.967179651275014,121.22996629879108,,"15,000",11.82,整戶出租,2房1廳1衛,1140303~1150302,29,住家用
中壢區龍山街２８號３０７室,透天厝,114/03/01,全/五層,冷氣、熱水器、洗衣機、電視機、冰箱、有線電視、網路、傢俱,24.948354791120575,121.23039675643425,,"7,800",6.00,分租套房,40房40衛,1140301~1150228,18,住宅、機電空間
中壢區陸光六街２７號,住宅大樓(11層含以上有電梯),114/03/06,一層/十四層,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,24.965292817770674,121.25748611193127,,"15,000",56.03,整戶出租,3房1廳2衛,1140312~1150311,22,住家用
中壢區愛國路６０巷３１號三樓,公寓(5樓含以下無電梯),114/03/07,三層/五層,冷氣、熱水器、冰箱、瓦斯或天然氣,24.96145959196792,121.22140874291154,,"12,000",30.75,整戶出租,3房2廳2衛,1140310~1150309,44,住家用
中壢區青溪路一段１２１號１３樓,住宅大樓(11層含以上有電梯),114/03/07,十三層/十四層,冷氣、熱水器、洗衣機、電視機、冰箱、傢俱,25.007331372380847,121.22228349723366,租金總額含管理費;,"42,000",70.07,整戶出租,2房2廳2衛,1140315~1150314,9,集合住宅
中壢區陸光五街７１號六樓,華廈(10層含以下有電梯),114/03/07,六層/十層,冷氣、熱水器、洗衣機、冰箱、瓦斯或天然氣、傢俱,24.966404883023348,121.25656734278647,續租案件;,"16,000",40.89,整戶出租,2房1廳1衛,1140315~1160314,7,集合住宅
中壢區榮民路２２２巷２４弄３２號４樓,華廈(10層含以下有電梯),114/03/06,四層/六層,冷氣、熱水器、瓦斯或天然氣、傢俱,24.966064243745084,121.26036980777951,,"17,500",36.01,整戶出租,3房1廳2衛,1140401~1150331,32,住家用
中壢區後寮一路１６０號７樓,華廈(10層含以下有電梯),114/03/07,七層/七層,冷氣、熱水器、洗衣機、冰箱、瓦斯或天然氣、傢俱,24.93998733229889,121.24616500651666,,"12,500",39.48,整戶出租,4房2廳2衛,1140319~1150318,28,住家用
中壢區中豐路４０２號二樓,華廈(10層含以下有電梯),114/03/05,二層/五層,冷氣、熱水器、洗衣機、電視機、冰箱、傢俱,24.95590201877723,121.21876452556899,,"12,000",16.78,獨立套房,1房1衛,1140310~1150309,5,集合住宅
中壢區榮和六街１１號六樓,華廈(10層含以下有電梯),114/03/05,六層/七層,熱水器、瓦斯或天然氣,24.961650837697455,121.26465874418352,,"10,000",32.92,整戶出租,3房1廳2衛,1140320~1150319,29,住家用
中壢區松勤路７８號十二樓,住宅大樓(11層含以上有電梯),114/03/06,十二層/十五層,冷氣、熱水器、電視機、瓦斯或天然氣、傢俱,24.96027779468676,121.1650251074835,,"21,300",43.20,整戶出租,3房2廳2衛,1140306~1150305,12,集合住宅
中壢區金鋒二街９３之１號,透天厝,114/03/07,全/三層,冷氣、熱水器、傢俱,24.950645603163952,121.2487312261875,,"16,000",57.97,整戶出租,4房2廳3衛,1140307~1141208,31,自用儲藏室、住宅
中壢區仁慈路１７２號十一樓,住宅大樓(11層含以上有電梯),114/03/03,十一層/十二層,冷氣、熱水器、冰箱、傢俱,24.945348706588298,121.25245380741612,,"6,700",7.80,獨立套房,1房1廳1衛,1140305~1150304,30,住家用
中壢區龍慈路２３９巷８號十六樓,住宅大樓(11層含以上有電梯),114/03/07,十六層/十九層,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣、傢俱,24.94062142788578,121.24488890031145,,"16,500",48.99,整戶出租,3房2廳2衛,1140401~1170331,25,住家用
中壢區春德路２７５號六樓,住宅大樓(11層含以上有電梯),114/03/10,六層/十五層,冷氣、熱水器、洗衣機、電視機、冰箱、傢俱,25.01395621676073,121.21123815070807,續租案件;,"15,000",36.64,整戶出租,2房2廳1衛,1140401~1150331,5,集合住宅
中壢區松勇路６２號三樓,住宅大樓(11層含以上有電梯),114/03/06,三層/十四層,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣、傢俱,24.959435842565252,121.16709383732446,,"20,827",30.70,整戶出租,2房1廳1衛,1140310~1150309,7,集合住宅
中壢區金鋒四街５０巷１６號六樓,住宅大樓(11層含以上有電梯),114/03/10,六層/十五層,冷氣、熱水器,24.9455359439432,121.24848330512702,,"12,300",26.83,整戶出租,2房1廳1衛,1140310~1150309,21,住家用
中壢區後寮一路１０７號九樓,住宅大樓(11層含以上有電梯),114/03/10,九層/十三層,冷氣、熱水器、洗衣機、冰箱、瓦斯或天然氣、傢俱,24.94125213282038,121.24566251193275,,"9,400",16.08,獨立套房,1房1廳1衛,1140310~1150309,29,住家用
中壢區中豐路４０２號４樓,華廈(10層含以下有電梯),114/03/07,四層/五層,冷氣、熱水器、洗衣機、電視機、冰箱、傢俱,24.95590201877723,121.21876452556899,,"12,000",10.97,獨立套房,1房1衛,1140310~1150309,5,集合住宅
中壢區榮安十三街２３６巷３６號六樓,華廈(10層含以下有電梯),114/03/10,六層/九層,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣、傢俱,24.96238231972757,121.25942120062982,,"10,000",32.93,整戶出租,2房2廳1衛,1140401~1150331,24,住家用
中壢區後興路一段３２巷１９號,透天厝,114/03/10,全/二層,冷氣、熱水器、洗衣機、電視機、冰箱、傢俱,24.942863300446874,121.24862647730221,,"30,000",32.13,整戶出租,5房2廳4衛,1140315~1150314,36,住家用
中壢區忠孝路３５６號六樓,華廈(10層含以下有電梯),114/03/05,六層/九層,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣、傢俱,24.980727362832774,121.25452685004977,續租案件;,"20,000",39.05,整戶出租,3房1廳1衛,1140320~1150319,21,住家用
中壢區中華路二段３３０號１２樓之５,住宅大樓(11層含以上有電梯),114/03/08,十二層/十六層,冷氣、熱水器、瓦斯或天然氣、傢俱,24.9645975100066,121.23575533242514,,"15,000",35.98,整戶出租,3房1廳2衛,1140308~1150307,30,住家用
中壢區興仁路二段９９號五樓之７３,華廈(10層含以下有電梯),114/03/07,五層/十層,冷氣、熱水器、洗衣機、電視機、冰箱、傢俱,24.966808351887106,121.26335252257398,,"6,300",9.58,獨立套房,1房1衛,1140319~1150318,19,住家用
中壢區龍慈路２３９巷２６號十八樓,住宅大樓(11層含以上有電梯),114/03/10,十八層/十九層,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣、傢俱,24.94062142788578,121.24488890031145,,"14,600",30.95,整戶出租,3房2廳1衛,1140401~1150331,25,住家用
中壢區力行北街５３號二樓之２３,華廈(10層含以下有電梯),114/03/06,二層/六層,冷氣、熱水器、冰箱、傢俱,24.954308197645037,121.23950884031468,,"4,800",5.88,獨立套房,1房1廳1衛,1140306~1150305,35,住家用
中壢區仁美二街２２之６號二樓,華廈(10層含以下有電梯),114/03/04,二層/十層,冷氣、熱水器、洗衣機、冰箱、瓦斯或天然氣、傢俱,24.942760796876964,121.25053740239184,續租案件;,"12,500",35.62,整戶出租,3房2廳2衛,1140312~1150131,28,住家用
中壢區永嘉街５６號四樓之２,華廈(10層含以下有電梯),114/03/10,四層/七層,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣、傢俱,24.959446299277666,121.22138533437912,續租案件;,"10,000",12.92,獨立套房,1房1衛,1140401~1150331,18,住家用
中壢區高鐵北路二段８８號５樓,住宅大樓(11層含以上有電梯),114/03/07,五層/十二層,冷氣、熱水器、洗衣機、電視機、冰箱、有線電視、網路、傢俱,25.01733796363905,121.22012170306378,多人共同承租2;租金總額含管理費;水費;網路費;其他(有線電視);,"16,000",43.62,分租套房,4房4衛,1140406~1150405,2,集合住宅
中壢區中山東路三段６１號三樓之７,住宅大樓(11層含以上有電梯),114/03/10,三層/二十四層,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣、傢俱,24.94504879454087,121.24825457226439,,"21,100",40.67,整戶出租,3房2廳2衛,1140310~1150309,17,住家用
中壢區新興路２３０巷２６號１４樓,住宅大樓(11層含以上有電梯),114/03/05,十四層/十四層,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣、有線電視、傢俱,24.95342315413722,121.22816808757939,,"15,000",28.19,整戶出租,2房2廳2衛,1140310~1160217,14,集合住宅
中壢區龍岡路二段３６７之６號十六樓,住宅大樓(11層含以上有電梯),114/03/11,十六層/十六層,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣、傢俱,24.940977847683925,121.23087814002459,社會住宅  管理費1600+水電費由承租人負擔,"16,400",45.33,整戶出租,3房2廳1衛,1140315~1150224,31,住家用
中壢區延平路３６６號５樓之２,住宅大樓(11層含以上有電梯),114/03/03,五層/十四層,冷氣、熱水器、洗衣機、傢俱,24.95969406497128,121.2247430975025,,"10,000",13.85,獨立套房,1房1衛,1140310~1150309,25,辦公室
中壢區後寮一路１６８號九樓,華廈(10層含以下有電梯),114/03/07,九層/九層,冷氣、熱水器、洗衣機、冰箱、瓦斯或天然氣、傢俱,24.939337756141697,121.24588646096348,,"19,000",37.07,整戶出租,3房2廳2衛,1140315~1150314,30,住家用
中壢區興仁路二段２號六樓,華廈(10層含以下有電梯),114/03/10,六層/七層,冷氣、熱水器、洗衣機、冰箱、傢俱,24.968181943191496,121.26262253093552,,"6,300",9.16,獨立套房,1房1衛,1140401~1150331,29,住家用
中壢區龍和三街６３號四樓,公寓(5樓含以下無電梯),114/03/04,四層/五層,冷氣、熱水器、瓦斯或天然氣、傢俱,24.939303385005974,121.24482688324946,續租案件;,"16,000",41.17,整戶出租,3房1廳2衛,1140312~1150311,31,住家用
中壢區振興街１４０號二樓之６,華廈(10層含以下有電梯),114/03/10,二層/七層,冷氣、熱水器、洗衣機、電視機、冰箱、傢俱,24.953780551649228,121.24198359901143,,"6,000",7.73,獨立套房,1房1衛,1140310~1150309,36,住家用
中壢區松信路３６號十樓之３,住宅大樓(11層含以上有電梯),114/03/10,十層/十五層,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣、傢俱,24.96079321235853,121.16430282393308,未租賃車位，建物登記含有車位面積;,"15,000",37.27,整戶出租,2房2廳1衛,1140313~1150312,5,集合住宅
中壢區振興街１４０號四樓之６,華廈(10層含以下有電梯),114/03/06,四層/七層,冷氣、熱水器、電視機、冰箱、傢俱,24.953780551649228,121.24198359901143,續租案件;,"6,000",7.68,獨立套房,1房1衛,1140308~1150307,36,住家用
中壢區春德路３０３號２樓,住宅大樓(11層含以上有電梯),114/03/10,二層/十五層,冷氣、熱水器、洗衣機、電視機、冰箱、傢俱,25.01395621676073,121.21123815070807,,"13,300",13.38,獨立套房,1房1衛,1140310~1150309,5,集合住宅
中壢區自立五街７號,住宅大樓(11層含以上有電梯),114/03/07,一層/十四層,冷氣、熱水器、瓦斯或天然氣,24.966367568911206,121.2519816586663,未租賃車位，建物登記含有車位面積;,"15,700",60.66,整戶出租,4房1廳2衛,1140310~1150309,22,住家用
中壢區龍岡路三段３７巷２０號七樓,住宅大樓(11層含以上有電梯),114/03/10,七層/十五層,熱水器,24.938248889727106,121.23240784596271,,"16,500",35.08,整戶出租,2房1廳1衛,1140310~1150309,8,集合住宅
中壢區永福路１０７３號四樓,住宅大樓(11層含以上有電梯),114/03/10,四層/十四層,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣、傢俱,24.966367568911206,121.2519816586663,,"22,500",60.66,整戶出租,3房2廳2衛,1140311~1150310,22,住家用
中壢區功學社新村３４之２號,公寓(5樓含以下無電梯),114/03/10,三層/四層,冷氣、熱水器、洗衣機、冰箱、瓦斯或天然氣、傢俱,24.954309883107538,121.25480922102479,,"16,000",23.88,整戶出租,3房1廳1衛,1140315~1150314,48,住家用
中壢區興安一街３０號五樓之２,住宅大樓(11層含以上有電梯),114/03/07,五層/十二層,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣、傢俱,24.966807001206632,121.26411513914444,,"23,500",46.20,整戶出租,3房2廳2衛,1140315~1150314,14,住家用
中壢區六和路３８號五樓之２,住宅大樓(11層含以上有電梯),114/03/10,五層/十五層,冷氣、熱水器、洗衣機、冰箱、瓦斯或天然氣、傢俱,24.964778415281117,121.22383125788713,,"28,500",88.60,整戶出租,5房2廳3衛,1140320~1150319,25,住家用
中壢區同慶路８６號,透天厝,114/03/08,全/四層,熱水器、瓦斯或天然氣,24.943604912634324,121.2532325348861,,"25,000",61.17,整戶出租,5房2廳2衛,1140312~1150311,34,住商用
中壢區福星七街２６之８號,透天厝,114/03/10,全/四層,冷氣、熱水器、瓦斯或天然氣、傢俱,24.96733866710705,121.23221484931344,,"20,000",72.40,整戶出租,4房1廳2衛,1140401~1150331,30,住家用
中壢區吉利九街５號二樓,公寓(5樓含以下無電梯),114/03/08,二層/五層,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣、傢俱,24.983549038851635,121.25168978134026,,"10,000",23.90,整戶出租,3房2廳1衛,1140310~1150309,41,住家用
中壢區利民路２５號二樓,華廈(10層含以下有電梯),114/03/11,二層/七層,冷氣、熱水器、洗衣機、瓦斯或天然氣、傢俱,24.951872821704477,121.23807810227257,每月管理費1000元由出租人負擔，租金已扣除。,"13,000",22.66,整戶出租,2房2廳2衛,1140515~1150514,33,住家用
中壢區環中東路二段１５０號,透天厝,114/03/11,全/五層,冷氣、熱水器、電視機、冰箱、有線電視、網路、傢俱,24.949563095842574,121.23711309171982,,"8,500",6.70,分租套房,15房15衛,1140315~1150314,30,店舖、住宅、自用儲藏室
